learner_record_id,region,department,role_family,experience_band,training_mode,prior_python_score,course_minutes,manager_support_score,support_tickets_last_30d,engagement_score,completion_days,assessment_score,satisfaction_score,productivity_gain_estimate_pct,completed_training
EDA-0212,South East,HR,Coordinator,6-10 years,Self-paced,45.7,220.0,3,3,79.3,31.0,70.0,4.1,10.6,1
EDA-0213,London,Customer Support,Advisor,6-10 years,Blended,53.0,428.0,4,1,90.0,21.0,78.0,4.6,10.3,0
EDA-0214,South East,Product,Developer,0-2 years,Self-paced,80.0,229.0,3,2,69.3,26.0,84.4,4.6,9.1,1
EDA-0215,London,Product,Manager,0-2 years,Self-paced,32.7,335.0,2,1,83.3,20.0,82.8,4.1,14.2,1
EDA-0216,Yorkshire,HR,Analyst,6-10 years,Instructor-led,43.0,371.0,5,1,95.4,7.0,86.8,5.0,13.0,1
EDA-0217,London,Sales,Advisor,3-5 years,Instructor-led,48.0,359.0,2,0,61.1,18.0,76.7,4.8,14.1,1
EDA-0218,Yorkshire,Product,Administrator,0-2 years,Blended,20.2,301.0,2,2,100.0,33.0,79.5,5.0,10.6,1
EDA-0219,South East,Operations,Advisor,3-5 years,Instructor-led,53.9,404.0,3,0,79.6,13.0,70.2,4.7,12.0,1
EDA-0220,Wales,HR,Analyst,10+ years,Self-paced,28.7,243.0,1,1,69.0,19.0,78.3,4.2,12.5,1
EDA-0221,Yorkshire,Operations,Coordinator,6-10 years,Blended,40.2,355.0,1,1,90.0,12.0,75.2,4.8,13.1,1
EDA-0222,London,HR,Coordinator,3-5 years,Blended,81.1,452.0,4,0,68.7,23.0,100.0,5.0,10.6,1
EDA-0223,Wales,Operations,Advisor,3-5 years,Self-paced,50.1,249.0,3,2,59.6,18.0,78.5,4.0,8.6,1
EDA-0224,Yorkshire,Product,Administrator,3-5 years,Self-paced,50.0,323.0,5,2,82.9,29.0,79.9,5.0,13.1,1
EDA-0225,North West,Sales,Coordinator,10+ years,Self-paced,75.4,340.0,3,0,75.8,19.0,88.6,5.0,13.6,1
EDA-0226,North West,HR,Administrator,6-10 years,Blended,25.0,311.0,2,2,86.3,15.0,70.8,5.0,7.2,1
EDA-0227,London,Sales,Developer,3-5 years,Self-paced,24.9,229.0,2,0,69.6,25.0,79.2,4.4,11.5,1
EDA-0228,South East,Customer Support,Coordinator,6-10 years,Blended,37.1,465.0,1,1,61.2,22.0,69.0,3.4,8.0,1
EDA-0229,London,Finance,Manager,0-2 years,Blended,52.3,411.0,4,3,91.9,15.0,92.7,3.9,12.8,1
EDA-0230,Yorkshire,Customer Support,Coordinator,0-2 years,Self-paced,42.8,216.0,2,1,66.3,10.0,82.1,3.7,8.4,1
EDA-0231,Wales,Product,Advisor,3-5 years,Blended,63.5,546.0,2,0,82.3,16.0,100.0,4.9,10.0,1
EDA-0232,West Midlands,Finance,Developer,3-5 years,Instructor-led,50.9,330.0,5,0,98.9,3.0,81.7,5.0,13.2,1
EDA-0233,Scotland,Operations,Manager,0-2 years,Instructor-led,41.7,447.0,4,0,94.7,26.0,82.2,5.0,9.0,1
EDA-0234,Scotland,Customer Support,Analyst,6-10 years,Instructor-led,85.0,408.0,3,0,73.4,16.0,83.7,3.8,12.1,1
EDA-0235,London,Customer Support,Developer,6-10 years,Blended,59.8,584.0,1,1,55.9,19.0,74.5,3.6,9.5,0
EDA-0236,Yorkshire,IT,Advisor,0-2 years,Instructor-led,33.4,374.0,2,2,59.7,14.0,66.8,4.1,6.1,0
EDA-0237,Yorkshire,Sales,Developer,6-10 years,Blended,54.0,531.0,4,1,90.6,27.0,93.5,4.0,13.3,1
EDA-0238,West Midlands,Sales,Coordinator,3-5 years,Blended,49.4,533.0,5,2,92.9,18.0,89.3,5.0,10.2,1
EDA-0239,Yorkshire,IT,Coordinator,3-5 years,Blended,66.3,556.0,3,0,84.8,21.0,86.6,4.4,11.0,1
EDA-0240,Yorkshire,Operations,Administrator,3-5 years,Self-paced,59.7,313.0,4,2,76.4,20.0,76.5,5.0,8.0,1
EDA-0241,Yorkshire,Finance,Analyst,0-2 years,Self-paced,79.1,173.0,5,1,81.3,23.0,86.8,4.2,10.1,1
EDA-0242,North West,Operations,Developer,6-10 years,Self-paced,74.3,401.0,4,1,94.7,23.0,100.0,5.0,9.1,1
EDA-0243,North West,Sales,Developer,3-5 years,Instructor-led,38.3,287.0,3,4,74.6,22.0,57.0,4.5,14.0,1
EDA-0244,North West,Operations,Administrator,10+ years,Self-paced,73.5,283.0,5,0,100.0,16.0,99.7,5.0,13.9,1
EDA-0245,Scotland,HR,Coordinator,6-10 years,Instructor-led,68.1,277.0,3,2,62.3,19.0,80.0,4.8,6.1,0
EDA-0246,Yorkshire,Customer Support,Analyst,6-10 years,Blended,92.7,620.0,4,0,81.5,10.0,94.0,4.4,11.9,1
EDA-0247,South East,Finance,Developer,6-10 years,Instructor-led,58.6,447.0,3,2,84.3,20.0,69.3,4.3,10.3,1
EDA-0248,London,IT,Coordinator,6-10 years,Blended,35.5,540.0,4,1,81.1,22.0,72.5,4.9,10.3,1
EDA-0249,Wales,IT,Coordinator,3-5 years,Blended,43.5,376.0,3,1,81.6,15.0,77.9,5.0,10.0,1
EDA-0250,Scotland,Sales,Administrator,3-5 years,Instructor-led,53.7,391.0,4,2,96.6,21.0,86.0,5.0,14.3,1
EDA-0251,London,IT,Manager,0-2 years,Self-paced,78.8,371.0,3,0,70.9,18.0,78.0,4.5,10.3,1
EDA-0252,Yorkshire,Operations,Coordinator,3-5 years,Instructor-led,33.7,421.0,2,1,65.5,19.0,65.0,4.8,10.6,1
EDA-0253,London,Product,Coordinator,10+ years,Blended,10.0,450.0,3,2,85.7,26.0,61.8,5.0,13.0,1
EDA-0254,West Midlands,Operations,Advisor,3-5 years,Self-paced,70.7,262.0,1,1,70.0,34.0,71.8,4.0,6.8,0
EDA-0255,South East,Operations,Coordinator,3-5 years,Blended,31.3,351.0,2,1,80.1,34.0,81.5,4.5,9.1,1
EDA-0256,North West,Sales,Advisor,10+ years,Blended,32.7,384.0,4,2,100.0,24.0,77.1,5.0,9.6,1
EDA-0257,Scotland,Customer Support,Advisor,10+ years,Self-paced,60.2,363.0,3,2,76.0,17.0,66.5,5.0,6.7,1
EDA-0258,Yorkshire,HR,Administrator,6-10 years,Blended,36.4,382.0,2,1,80.2,13.0,69.2,4.5,6.6,1
EDA-0259,North West,IT,Analyst,3-5 years,Blended,56.0,326.0,2,1,62.9,24.0,70.0,3.2,6.3,0
EDA-0260,South East,HR,Administrator,3-5 years,Self-paced,51.6,317.0,3,1,66.9,19.0,79.5,5.0,11.9,1
EDA-0261,North West,Sales,Analyst,10+ years,Blended,33.4,409.0,3,0,72.2,9.0,95.7,5.0,10.8,1
EDA-0262,South East,Operations,Manager,0-2 years,Instructor-led,58.4,333.0,4,0,65.2,23.0,94.7,4.6,15.1,1
EDA-0263,South East,IT,Advisor,10+ years,Blended,38.5,462.0,5,0,98.0,12.0,80.4,5.0,12.3,1
EDA-0264,South East,IT,Developer,6-10 years,Blended,74.6,387.0,2,3,49.7,30.0,83.4,3.2,10.7,1
EDA-0265,Yorkshire,Sales,Developer,3-5 years,Self-paced,43.3,176.0,4,1,63.5,13.0,83.5,4.2,11.7,0
EDA-0266,Yorkshire,Product,Coordinator,10+ years,Self-paced,43.2,194.0,1,1,50.1,16.0,58.8,3.9,9.9,1
EDA-0267,North West,Sales,Manager,0-2 years,Blended,60.6,432.0,4,0,100.0,15.0,83.0,5.0,12.9,1
EDA-0268,South East,Operations,Advisor,3-5 years,Blended,60.3,484.0,4,2,75.5,29.0,97.5,4.0,15.3,1
EDA-0269,West Midlands,Product,Developer,10+ years,Self-paced,73.6,421.0,3,1,93.4,18.0,89.7,5.0,13.1,1
EDA-0270,Scotland,Operations,Developer,3-5 years,Self-paced,58.7,315.0,4,0,86.2,22.0,82.3,4.6,11.3,1
EDA-0271,London,Customer Support,Manager,3-5 years,Self-paced,59.8,173.0,3,2,71.8,20.0,90.0,5.0,15.3,1
EDA-0272,South East,Finance,Manager,0-2 years,Blended,48.5,421.0,4,0,94.5,12.0,93.9,4.9,18.0,1
EDA-0273,North West,Operations,Developer,3-5 years,Instructor-led,64.4,433.0,4,2,67.6,26.0,82.7,4.5,9.8,1
EDA-0274,Scotland,Sales,Coordinator,3-5 years,Self-paced,68.2,267.0,4,0,95.2,27.0,90.4,5.0,13.8,1
EDA-0275,West Midlands,Sales,Administrator,6-10 years,Self-paced,66.0,198.0,3,2,69.0,26.0,92.4,4.5,9.2,1
EDA-0276,London,Customer Support,Developer,3-5 years,Instructor-led,57.7,244.0,2,1,69.0,11.0,69.6,3.8,9.3,1
EDA-0277,Yorkshire,Operations,Administrator,0-2 years,Self-paced,53.4,220.0,4,0,74.5,3.0,81.8,4.7,11.2,1
EDA-0278,Yorkshire,Sales,Developer,3-5 years,Instructor-led,55.0,354.0,4,1,100.0,24.0,87.6,4.8,16.4,1
EDA-0279,South East,Operations,Coordinator,3-5 years,Blended,43.5,349.0,5,3,88.4,34.0,83.2,5.0,7.1,1
EDA-0280,North West,Sales,Advisor,10+ years,Self-paced,14.6,334.0,1,1,69.8,12.0,77.0,4.3,4.5,0
EDA-0281,London,HR,Analyst,3-5 years,Self-paced,71.6,237.0,4,1,76.2,21.0,100.0,4.8,16.1,1
EDA-0282,Yorkshire,Operations,Manager,0-2 years,Self-paced,36.2,193.0,3,0,85.1,14.0,73.0,4.9,10.6,1
EDA-0283,London,HR,Analyst,10+ years,Self-paced,66.3,267.0,3,2,68.4,18.0,79.9,4.7,9.8,1
EDA-0284,Scotland,Product,Administrator,3-5 years,Self-paced,75.3,232.0,5,0,89.9,28.0,95.2,5.0,10.0,1
EDA-0285,London,Finance,Manager,3-5 years,Instructor-led,24.5,296.0,4,5,67.2,25.0,64.8,5.0,10.6,1
EDA-0286,Yorkshire,IT,Developer,3-5 years,Instructor-led,44.5,289.0,2,2,75.9,15.0,73.3,3.1,12.3,1
EDA-0287,London,Sales,Developer,6-10 years,Blended,81.1,513.0,4,0,80.5,15.0,93.5,5.0,10.4,1
EDA-0288,Scotland,Sales,Administrator,3-5 years,Blended,49.7,461.0,3,2,83.3,12.0,80.6,3.9,13.9,1
EDA-0289,North West,Customer Support,Coordinator,10+ years,Self-paced,51.0,257.0,4,0,90.5,21.0,84.6,5.0,12.5,1
EDA-0290,London,Sales,Administrator,10+ years,Blended,23.8,321.0,3,1,93.0,19.0,69.0,5.0,12.1,1
EDA-0291,South East,Operations,Advisor,6-10 years,Blended,58.1,478.0,2,0,66.0,22.0,78.6,3.2,9.8,1
EDA-0292,Scotland,Finance,Advisor,6-10 years,Blended,29.8,440.0,3,4,65.1,15.0,61.2,4.6,8.0,0
EDA-0293,South East,HR,Coordinator,6-10 years,Self-paced,53.2,415.0,1,3,27.5,22.0,59.5,3.4,13.1,1
EDA-0294,South East,Operations,Analyst,0-2 years,Self-paced,55.5,383.0,3,1,73.4,34.0,68.8,3.6,12.6,1
EDA-0295,Scotland,Operations,Advisor,6-10 years,Self-paced,59.8,378.0,4,0,75.3,30.0,100.0,4.8,14.3,1
EDA-0296,South East,Operations,Analyst,0-2 years,Instructor-led,51.2,360.0,2,1,64.8,21.0,78.4,4.3,11.3,0
EDA-0297,Yorkshire,IT,Advisor,10+ years,Instructor-led,50.3,364.0,4,1,65.5,17.0,71.7,5.0,11.2,1
EDA-0298,Scotland,IT,Administrator,0-2 years,Self-paced,75.6,320.0,2,1,89.4,18.0,70.6,4.6,9.8,1
EDA-0299,Scotland,Sales,Advisor,0-2 years,Self-paced,29.3,217.0,1,2,51.1,26.0,58.1,2.1,5.5,0
EDA-0300,Yorkshire,IT,Analyst,10+ years,Blended,39.8,436.0,4,0,80.9,5.0,75.3,5.0,10.2,0
EDA-0301,Scotland,HR,Advisor,10+ years,Instructor-led,43.5,291.0,4,1,100.0,13.0,84.0,4.3,9.5,1
EDA-0302,North West,Operations,Coordinator,0-2 years,Blended,26.4,491.0,3,2,90.0,19.0,76.6,5.0,11.2,1
EDA-0303,London,Customer Support,Developer,6-10 years,Self-paced,47.4,409.0,5,0,100.0,13.0,97.9,5.0,7.7,0
EDA-0304,Scotland,Operations,Developer,10+ years,Self-paced,52.0,260.0,5,1,89.0,24.0,87.3,4.8,11.4,1
EDA-0305,Scotland,HR,Administrator,3-5 years,Instructor-led,46.8,303.0,5,0,89.9,14.0,100.0,5.0,7.8,0
EDA-0306,Wales,Finance,Analyst,6-10 years,Self-paced,71.7,320.0,4,0,70.7,14.0,97.5,3.9,18.0,1
EDA-0307,London,Product,Manager,10+ years,Instructor-led,56.1,336.0,5,0,65.9,10.0,91.9,5.0,10.6,1
EDA-0308,Wales,Sales,Coordinator,0-2 years,Self-paced,18.5,381.0,3,1,73.1,23.0,82.2,4.7,12.6,1
EDA-0309,North West,IT,Developer,0-2 years,Blended,87.8,478.0,4,0,93.4,13.0,93.9,5.0,13.3,1
EDA-0310,West Midlands,Operations,Administrator,3-5 years,Self-paced,44.0,237.0,4,2,57.1,27.0,70.6,3.9,9.7,1
EDA-0311,North West,Finance,Coordinator,3-5 years,Self-paced,71.5,411.0,5,0,99.3,13.0,87.4,5.0,14.0,1
EDA-0312,Yorkshire,Sales,Administrator,3-5 years,Blended,28.3,433.0,5,1,88.5,30.0,83.9,5.0,10.5,1
EDA-0313,London,Operations,Analyst,0-2 years,Blended,56.3,428.0,1,3,78.4,30.0,72.7,4.8,10.3,1
EDA-0314,North West,Product,Coordinator,6-10 years,Instructor-led,50.8,349.0,3,2,89.2,19.0,75.4,4.5,9.4,1
EDA-0315,London,Operations,Developer,3-5 years,Self-paced,38.4,332.0,3,4,67.6,22.0,71.7,3.3,7.7,0
EDA-0316,London,HR,Developer,0-2 years,Self-paced,56.8,196.0,4,1,71.0,13.0,91.6,5.0,11.7,1
EDA-0317,London,Product,Analyst,6-10 years,Blended,62.2,526.0,3,1,91.3,20.0,100.0,5.0,8.2,1
EDA-0318,Scotland,Finance,Analyst,3-5 years,Self-paced,53.6,187.0,3,0,83.8,23.0,71.3,5.0,10.3,1
EDA-0319,London,Customer Support,Advisor,6-10 years,Instructor-led,68.7,352.0,3,1,76.0,25.0,76.5,4.2,11.7,1
EDA-0320,South East,Customer Support,Coordinator,3-5 years,Blended,39.8,389.0,2,2,82.2,14.0,80.7,5.0,10.8,1
EDA-0321,Scotland,HR,Manager,3-5 years,Blended,98.0,485.0,5,1,75.5,3.0,100.0,5.0,12.4,1
EDA-0322,South East,HR,Administrator,6-10 years,Self-paced,31.3,280.0,3,1,88.6,23.0,91.6,4.8,11.9,1
EDA-0323,South East,IT,Advisor,3-5 years,Blended,43.2,302.0,5,0,100.0,18.0,97.1,5.0,12.9,1
EDA-0324,London,IT,Advisor,6-10 years,Self-paced,47.0,368.0,4,1,81.8,12.0,65.0,4.3,13.8,1
EDA-0325,Wales,IT,Developer,6-10 years,Instructor-led,62.8,531.0,4,2,77.1,20.0,90.3,4.7,12.7,1
EDA-0326,Yorkshire,Operations,Coordinator,6-10 years,Blended,36.9,390.0,3,5,77.9,20.0,81.6,4.7,14.7,1
EDA-0327,London,Customer Support,Coordinator,6-10 years,Self-paced,73.5,283.0,1,3,58.8,28.0,76.0,3.6,12.0,1
EDA-0328,Scotland,Finance,Advisor,0-2 years,Blended,66.7,457.0,3,1,73.1,10.0,90.7,4.8,10.1,1
EDA-0329,North West,Sales,Developer,3-5 years,Instructor-led,38.7,269.0,3,1,82.0,15.0,81.4,4.4,9.6,0
EDA-0330,London,IT,Developer,3-5 years,Self-paced,53.8,293.0,4,0,73.0,18.0,76.5,4.6,14.2,1
EDA-0331,Wales,Customer Support,Developer,6-10 years,Blended,71.5,429.0,3,2,91.1,30.0,78.8,5.0,11.9,1
EDA-0332,Scotland,Product,Developer,0-2 years,Instructor-led,49.8,379.0,2,3,56.7,19.0,92.1,3.7,13.2,1
EDA-0333,London,Operations,Coordinator,0-2 years,Blended,79.6,353.0,2,1,61.2,32.0,75.5,4.3,10.3,1
EDA-0334,London,Sales,Analyst,3-5 years,Self-paced,62.4,329.0,5,1,88.9,12.0,88.4,5.0,11.5,1
EDA-0335,South East,Operations,Manager,6-10 years,Blended,34.8,372.0,5,1,94.5,9.0,84.6,5.0,16.7,1
EDA-0336,North West,Sales,Analyst,3-5 years,Blended,47.2,421.0,3,0,69.8,24.0,83.1,4.0,8.0,1
EDA-0337,Scotland,Sales,Manager,10+ years,Self-paced,61.5,246.0,1,1,39.8,17.0,75.4,2.9,9.1,0
EDA-0338,North West,HR,Administrator,6-10 years,Self-paced,76.1,406.0,1,2,27.9,18.0,78.7,3.3,13.5,1
EDA-0339,Scotland,Finance,Advisor,3-5 years,Blended,65.2,403.0,4,1,92.3,9.0,72.4,3.6,15.5,1
EDA-0340,Scotland,IT,Manager,0-2 years,Self-paced,48.4,343.0,3,3,65.8,15.0,73.8,4.2,12.9,1
EDA-0341,London,HR,Developer,10+ years,Instructor-led,44.1,471.0,3,0,85.8,3.0,86.9,4.4,14.1,1
EDA-0342,Yorkshire,IT,Advisor,0-2 years,Blended,67.4,355.0,5,0,84.5,20.0,100.0,4.9,11.8,1
EDA-0343,South East,Customer Support,Analyst,10+ years,Self-paced,53.6,320.0,3,0,89.4,20.0,84.3,4.9,10.6,1
EDA-0344,South East,IT,Manager,6-10 years,Self-paced,57.1,283.0,5,0,100.0,13.0,100.0,5.0,14.8,1
EDA-0345,West Midlands,Sales,Advisor,10+ years,Self-paced,95.6,432.0,4,0,92.7,16.0,100.0,5.0,8.4,1
EDA-0346,West Midlands,Customer Support,Developer,3-5 years,Blended,90.9,453.0,2,1,93.1,22.0,100.0,4.4,12.4,1
EDA-0347,Yorkshire,Finance,Coordinator,10+ years,Blended,5.0,364.0,4,0,100.0,30.0,75.3,5.0,11.1,1
EDA-0348,London,Product,Manager,6-10 years,Self-paced,48.1,259.0,3,1,79.5,16.0,92.0,4.4,12.0,1
EDA-0349,South East,Customer Support,Manager,10+ years,Instructor-led,41.9,370.0,2,1,75.4,3.0,88.2,4.7,10.3,1
EDA-0350,South East,Operations,Analyst,3-5 years,Self-paced,73.3,230.0,4,1,87.0,16.0,88.1,5.0,13.0,1
EDA-0351,Yorkshire,Customer Support,Analyst,3-5 years,Self-paced,91.5,469.0,3,0,76.8,19.0,86.1,4.3,10.2,1
EDA-0352,Wales,IT,Coordinator,6-10 years,Instructor-led,66.1,438.0,2,1,47.0,16.0,80.4,3.6,13.1,1
EDA-0353,Yorkshire,HR,Advisor,0-2 years,Self-paced,40.6,288.0,2,4,75.1,20.0,79.3,3.6,11.2,1
EDA-0354,Scotland,HR,Administrator,6-10 years,Self-paced,80.3,284.0,1,0,66.9,24.0,83.0,4.8,12.1,1
EDA-0355,North West,HR,Advisor,6-10 years,Self-paced,63.8,253.0,2,2,75.8,17.0,88.3,4.4,12.9,1
EDA-0356,London,Operations,Analyst,0-2 years,Blended,60.5,388.0,4,1,87.8,9.0,90.4,4.8,10.2,1
EDA-0357,Yorkshire,Finance,Coordinator,0-2 years,Blended,64.9,468.0,3,0,87.3,11.0,99.6,5.0,10.7,1
EDA-0358,Scotland,Finance,Developer,0-2 years,Self-paced,63.1,266.0,5,1,100.0,9.0,78.6,5.0,10.7,1
EDA-0359,North West,Customer Support,Developer,6-10 years,Blended,48.3,342.0,3,0,89.7,23.0,80.1,4.4,9.4,1
EDA-0360,South East,Product,Developer,6-10 years,Instructor-led,60.2,390.0,2,2,78.3,27.0,83.8,4.5,9.3,1
EDA-0361,South East,Sales,Analyst,6-10 years,Self-paced,47.4,312.0,3,0,91.2,3.0,98.4,5.0,11.8,1
EDA-0362,North West,Sales,Advisor,10+ years,Blended,50.3,436.0,2,1,74.0,25.0,76.3,4.5,9.2,1
EDA-0363,Wales,IT,Coordinator,10+ years,Self-paced,63.3,286.0,3,2,86.7,23.0,89.6,4.8,11.3,1
EDA-0364,Wales,Product,Coordinator,10+ years,Blended,37.5,352.0,4,1,83.2,13.0,55.3,4.7,13.4,1
EDA-0365,South East,HR,Developer,10+ years,Blended,85.0,444.0,3,0,85.3,7.0,88.8,4.8,9.9,1
EDA-0366,Yorkshire,Operations,Coordinator,6-10 years,Instructor-led,78.4,478.0,5,0,76.2,12.0,96.4,4.8,9.6,1
EDA-0367,London,Operations,Coordinator,3-5 years,Instructor-led,67.5,308.0,4,1,79.9,13.0,89.0,5.0,12.5,1
EDA-0368,Yorkshire,Operations,Manager,3-5 years,Instructor-led,51.0,305.0,4,2,72.1,23.0,75.0,4.7,16.9,1
EDA-0369,Wales,Product,Analyst,6-10 years,Self-paced,59.9,442.0,4,2,92.5,29.0,90.5,5.0,11.9,1
EDA-0370,Scotland,IT,Administrator,0-2 years,Instructor-led,75.5,528.0,4,0,62.2,13.0,95.5,5.0,13.4,1
EDA-0371,North West,Product,Coordinator,3-5 years,Instructor-led,41.6,403.0,2,0,67.5,11.0,78.1,4.6,9.5,1
EDA-0372,Scotland,Product,Administrator,6-10 years,Self-paced,69.3,342.0,3,2,67.9,15.0,90.5,3.9,12.1,1
EDA-0373,Yorkshire,IT,Analyst,10+ years,Blended,72.5,502.0,3,1,66.7,33.0,91.8,3.6,18.0,1
EDA-0374,Wales,Operations,Administrator,6-10 years,Self-paced,54.6,429.0,4,0,82.5,9.0,93.3,5.0,12.1,1
EDA-0375,Scotland,IT,Advisor,6-10 years,Instructor-led,69.3,453.0,4,0,88.8,13.0,89.4,4.9,11.7,1
EDA-0376,Wales,Finance,Manager,3-5 years,Blended,60.3,353.0,5,0,68.8,15.0,77.0,5.0,9.6,0
EDA-0377,London,Sales,Developer,3-5 years,Instructor-led,26.0,371.0,3,1,92.2,22.0,79.1,4.2,10.3,1
EDA-0378,Yorkshire,Product,Advisor,6-10 years,Blended,93.5,440.0,3,1,82.3,17.0,87.4,4.8,14.5,1
EDA-0379,Scotland,Sales,Manager,6-10 years,Blended,59.1,285.0,5,2,100.0,24.0,89.7,4.4,13.9,1
EDA-0380,Scotland,Operations,Advisor,6-10 years,Blended,25.2,284.0,4,0,100.0,15.0,83.1,4.7,15.0,1
EDA-0381,London,Customer Support,Coordinator,6-10 years,Self-paced,52.2,265.0,5,1,53.4,17.0,91.8,4.0,11.3,1
EDA-0382,North West,Finance,Administrator,6-10 years,Blended,33.1,352.0,3,3,71.8,32.0,67.6,3.8,10.9,1
EDA-0383,Scotland,Customer Support,Administrator,0-2 years,Self-paced,44.9,303.0,4,2,63.9,17.0,79.4,3.4,13.5,1
EDA-0384,South East,Product,Developer,3-5 years,Self-paced,67.5,294.0,4,3,97.3,38.0,81.5,4.8,8.5,1
EDA-0385,North West,Finance,Coordinator,3-5 years,Blended,69.9,421.0,5,2,85.2,24.0,86.1,4.8,10.8,1
EDA-0386,North West,Operations,Analyst,3-5 years,Instructor-led,35.7,434.0,5,1,78.7,10.0,85.6,4.9,10.6,1
EDA-0387,Scotland,Finance,Advisor,3-5 years,Instructor-led,64.8,364.0,4,0,100.0,25.0,79.1,5.0,13.2,1
EDA-0388,Scotland,Sales,Manager,6-10 years,Blended,44.9,457.0,3,1,94.7,30.0,87.4,4.2,9.8,1
EDA-0389,London,Sales,Developer,6-10 years,Instructor-led,68.0,328.0,4,1,80.5,10.0,81.9,4.4,16.4,1
EDA-0390,West Midlands,Operations,Advisor,10+ years,Instructor-led,30.6,336.0,1,1,63.9,29.0,77.2,3.4,6.6,0
EDA-0391,North West,Sales,Analyst,6-10 years,Blended,52.1,477.0,4,2,100.0,24.0,83.4,5.0,10.4,1
EDA-0392,Scotland,IT,Coordinator,10+ years,Self-paced,54.0,449.0,3,1,95.7,20.0,69.5,5.0,11.8,1
EDA-0393,Yorkshire,Operations,Manager,0-2 years,Instructor-led,80.7,268.0,4,0,100.0,10.0,80.0,5.0,9.4,1
EDA-0394,Yorkshire,Finance,Advisor,3-5 years,Self-paced,69.7,311.0,3,2,56.0,13.0,70.2,3.5,10.8,1
EDA-0395,London,Product,Administrator,3-5 years,Blended,62.6,426.0,5,0,87.7,18.0,98.3,4.8,15.3,1
EDA-0396,South East,Product,Administrator,6-10 years,Self-paced,55.4,220.0,4,0,57.9,16.0,83.0,3.7,10.4,0
EDA-0397,South East,IT,Coordinator,6-10 years,Blended,43.0,361.0,4,1,80.4,13.0,96.3,4.6,10.1,1
EDA-0398,West Midlands,Customer Support,Coordinator,3-5 years,Blended,38.6,350.0,3,3,83.7,17.0,72.8,3.0,9.4,0
EDA-0399,Yorkshire,Product,Coordinator,10+ years,Instructor-led,41.9,245.0,2,0,73.3,14.0,83.2,4.2,5.3,1
EDA-0400,North West,Product,Developer,3-5 years,Self-paced,46.1,268.0,5,1,74.5,18.0,70.7,4.7,12.0,1
EDA-0401,Wales,IT,Manager,0-2 years,Self-paced,37.4,272.0,5,1,87.9,27.0,92.5,5.0,12.3,1
EDA-0402,London,Customer Support,Coordinator,6-10 years,Self-paced,57.1,329.0,2,3,63.6,19.0,61.8,2.9,6.7,0
EDA-0403,South East,Product,Developer,10+ years,Self-paced,78.9,256.0,3,0,70.5,18.0,99.8,3.4,14.3,1
EDA-0404,London,Sales,Administrator,6-10 years,Self-paced,64.1,285.0,3,1,86.1,13.0,79.7,5.0,10.0,0
EDA-0405,Yorkshire,HR,Analyst,0-2 years,Self-paced,63.6,357.0,3,1,68.0,14.0,77.1,4.9,13.9,1
EDA-0406,Scotland,Finance,Administrator,6-10 years,Self-paced,55.2,392.0,5,2,88.5,11.0,84.5,4.5,14.8,1
EDA-0407,Scotland,IT,Administrator,3-5 years,Blended,83.9,300.0,4,1,74.3,20.0,90.3,5.0,14.9,1
EDA-0408,North West,Customer Support,Administrator,3-5 years,Instructor-led,54.4,389.0,2,5,58.8,29.0,61.4,3.8,8.8,1
EDA-0409,London,Finance,Developer,10+ years,Self-paced,66.0,281.0,1,3,53.0,16.0,56.4,3.4,10.8,1
EDA-0410,South East,Finance,Analyst,3-5 years,Blended,97.6,448.0,1,0,89.1,26.0,89.6,4.0,9.8,0
EDA-0411,West Midlands,HR,Developer,0-2 years,Blended,52.5,285.0,4,3,85.8,17.0,86.7,4.6,10.8,1
EDA-0412,Scotland,Sales,Coordinator,3-5 years,Blended,60.8,372.0,3,0,81.6,16.0,87.8,5.0,10.9,1
EDA-0413,South East,Customer Support,Administrator,6-10 years,Blended,41.2,423.0,5,0,85.1,20.0,87.1,5.0,12.0,1
EDA-0414,Scotland,IT,Administrator,10+ years,Self-paced,30.1,255.0,4,1,88.5,23.0,64.2,4.8,14.6,1
EDA-0415,London,IT,Administrator,0-2 years,Instructor-led,41.1,420.0,5,1,81.7,22.0,78.3,5.0,11.3,1
EDA-0416,London,Customer Support,Administrator,3-5 years,Instructor-led,41.5,522.0,3,2,74.6,20.0,88.6,4.7,7.4,0
EDA-0417,Yorkshire,Product,Manager,0-2 years,Blended,50.8,443.0,3,2,82.7,25.0,84.9,4.7,12.9,1
EDA-0418,Wales,Finance,Analyst,6-10 years,Instructor-led,55.7,426.0,1,2,38.7,15.0,65.2,2.9,7.5,0
EDA-0419,West Midlands,Product,Developer,3-5 years,Instructor-led,57.2,356.0,5,0,94.3,14.0,90.3,5.0,14.2,1
EDA-0420,Yorkshire,Operations,Manager,3-5 years,Blended,22.6,327.0,4,0,80.8,12.0,66.6,3.8,10.6,1
EDA-0421,South East,Product,Manager,10+ years,Instructor-led,45.2,346.0,4,2,84.1,11.0,81.9,4.1,12.3,1
EDA-0422,Wales,Sales,Coordinator,3-5 years,Self-paced,54.1,302.0,3,1,61.2,7.0,73.9,4.9,9.6,1
EDA-0423,Yorkshire,Product,Analyst,3-5 years,Self-paced,56.8,287.0,3,1,57.3,39.0,74.9,4.3,12.8,1
EDA-0424,West Midlands,Finance,Analyst,0-2 years,Self-paced,40.8,291.0,4,1,68.1,28.0,87.8,4.8,15.8,1
